,_id,sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act
258,259,2404,桃園煉油廠南門綠地,16,2,桃園區,20240715205134,25.0263,121.3099,中油煉油廠南門綠地南側(鹽務路),Taoyuan Dist.,CPC Nanmen Park,CPC Nanmen Park (South) (Yanwu Rd.),13,1
259,260,2405,萬壽德育街口,24,1,龜山區,20240715205115,24.992,121.3232871,萬壽路二段1427號東側停車場,Guishan Dist.,Wanshou Rd. &amp; Deyu St. Intersection,"No. 1427, Sec. 2, Wanshou Rd. (East)",21,1
260,261,2406,勞工教育大樓,20,3,桃園區,20240715205135,25.0028,121.3096,民生路650號,Taoyuan Dist.,Labor Education Building,"No. 650, Minsheng Rd.",17,1
261,262,2408,法治守法路口,14,2,桃園區,20240715205127,24.99274129,121.2964609,法治路4號對側,Taoyuan Dist.,Fazhi Rd. &amp; Shoufa Rd. Intersection,"No. 4, Fazhi Rd. (opposite)",6,1
262,263,2409,中路運動公園,16,4,桃園區,20240715205116,25.0043,121.2946,溫州一路59號對側,Taoyuan Dist.,Zhonglu Sports Park,"No. 59, Wenzhou 1st Rd. (opposite)",10,1
263,264,2410,觀音樹林里籃球場,18,4,觀音區,20240715205139,25.0517,121.1231,民生路與民生路71巷口,Guanyin Dist.,Guanyin Shulin Vil. Basketball Court,"Ln. 71, Minsheng Rd. &amp; Minsheng Rd. intersection",12,1
264,265,2413,觀音行政園區,22,3,觀音區,20240715205136,25.02770049,121.0839325,觀新路52號旁,Guanyin Dist.,Guanyin Executive Park,"No. 52, Guanxin Rd.",18,1
265,266,2414,捷運老街溪站(A22),14,0,中壢區,20240715205131,24.95826348,121.2193014,中豐路與中央西路一段西側人行道,Zhongli Dist.,MRT Laojie River Station (A22),"Zhongfeng Rd. &amp; Sec.1, Zhongyang W. Rd. intersection (West)",14,1
266,267,2415,永豐路519巷口,26,1,八德區,20240715205133,24.97420362,121.273361,永豐路490號西北側,Bade Dist.,"Ln 519, Yongfeng Rd. Intersection","No. 490, Yongfeng Rd.(Northwest)",25,1
267,268,2416,幸福路水岸二街口,12,0,桃園區,20240715205138,25.02798487,121.2966636,幸福路318號,Taoyuan Dist.,Xingfu Rd.&amp; Shui'an 2nd St. Intersection,"No. 318, Xingfu Rd.",11,1
268,269,2420,良茂詠恆,16,0,中壢區,20240715205142,25.00643489,121.2164173,領航南路二段350~396號前,Zhongli Dist.,LM Qingbu Station,"No. 350, Sec. 2, Linghang S. Rd.",16,1
269,270,2421,置地廣場 桃園,6,0,中壢區,20240715205145,25.016959,121.212729,春德路132號對側,Zhongli Dist.,Landmark Plaza Taoyuan,"No. 132, Chunde Rd. (opposite)",5,1
270,271,2422,中大公園,20,6,八德區,20240715205134,24.9288,121.2809,建德路與興豐路口,Bade Dist.,Zhongda Park,Jiande Rd. &amp; Xingfeng Rd. Intersection,13,1
271,272,2423,領航南青溪路口,10,1,中壢區,20240715205124,25.017846,121.22416,領航南路四段與青溪路二段口(東北側),Zhongli Dist.,Linghang S Rd. &amp; Qingxi Rd. Intersection,"Sec. 4, Linghang S Rd. &amp; Sec. 2, Qingxi Rd. Intersection (Northeast)",8,1
272,273,2424,櫻花緻,12,5,中壢區,20240715205115,25.0051,121.2234,青溪路一段與青埔六街口東側人行道,Zhongli Dist.,SAKURA ARCH,"Sec. 1, Qingxi Rd.&amp;Qingpu 6th St. Intersection (East)",7,1
273,274,2427,龍潭婦幼館,22,0,龍潭區,20240715205141,24.86852588,121.2067164,干城路19巷30號南側停車場,Longtan Dist.,Women and Children Hall LongTan Dt.,"No. 30, Ln. 19, Gancheng Rd. (South)",21,1
274,275,2429,青昇公園,12,5,中壢區,20240715205126,25.01471253,121.2219515,領航南路四段與青昇路口,Zhongli Dist.,Qingsheng Park,"Sec. 4, Linghang S. Rd.&amp;Qingsheng Rd. Intersection",7,1
275,276,2430,至善高中,18,0,大溪區,20240715205138,24.86728539,121.2844996,康莊路645號,Daxi Dist.,Jhih Shan High School,"No. 645, Kangzhuang Rd.",17,1
276,277,2431,新屋高中,32,2,新屋區,20240715205120,24.96949493,121.1008929,三民路與中興路口,Xinwu Dist.,Xinwu Senior High School,Sanmin Rd. &amp; Zhongxing Rd. Intersection,30,1
